,Text,Label
46,"U.S. Did NOT Send '100,000 Military' to South China Sea Amid Pandemic",Fake
47,"Countering Video, Doctors Say Drug For High-Altitude Sickness is NOT 'Missing Link' In Coronavirus Treatment",Fake
48,Coronavirus NOT Sparing Essential Workers (But Most Victims Are Elderly),Fake
49,"Pelosi Was NOT In Wuhan, China, In 2019 Ahead Of COVID-19 Outbreak; Did NOT Sabotage Now-Signed Trade Deal",Fake
50,NOT All Elective Or Non-Emergency Surgeries Banned In The US; Exceptions For Medical Reasons Allowed In Most States,Fake
51,"Trey Gowdy Did NOT Go On Rant Claiming Coronavirus Shutdowns Were 'Fishy,' 'Well-Timed' And 'Costing Our Economy Billions' ",Fake
52,Dr. Birx Did NOT Say Lack Of COVID-19 Testing Was Because It Was Not Profitable For Private Labs,Fake
53,"White House Reporters Joking About Coronavirus Being A Hoax, That Vaccine Exists NOT Evidence Of Conspiracy",Fake
54,"Valley County, Montana, Did NOT Mandate Pink Arm Bands For All To Enter Stores; Did Revise Confusing Flier",Fake
55,"U.S. NOT 'Sneakily' Using Coronavirus As Cover to Pass Bill; Uncertain If It 'Will Stop End-To-End Encryption, Allow Officials To See All Private Messages, Listen To All Calls'",Fake
56,Viral Meme Advising How To 'Legally Decline' A Vaccine Is NOT Accurate,Fake
57,Chase Michael Morris Did NOT Predict The Coronavirus In A 2015 Facebook Post,Fake
58,Trump Tweet On Swine Flu Death Toll and Obamacare Website Is Misleading,Fake
59,"Some Hospitals Compensated For COVID-19 Patients Under Stimulus, But NO Evidence NYC Hospitals Inflating Coronavirus Numbers",Fake
60,Trump NEVER Tweeted in 2009 About Americans Dying in Pandemic,Fake
61,Amazon's Alexa Does NOT Say 'The Government' Released Coronavirus,Fake
62,Pelosi Did NOT Delete Tweet Of Video Urging Visits To Chinatown During COVID-19,Fake
63,NO Medical Evidence That 'Just a Few Drops' Of Hydrogen Peroxide In The Ear Boosts Immunity To Viruses,Fake
64,A Barcode Does NOT Tell You A Product's Country Of Origin,Fake
65,Michigan Governor Did NOT Violate State's Social Distancing Order; TV Station Used File Footage,Fake
66,March 25 Death Count Numbers Meme Highly Misleading About Coronavirus Pandemic,Fake
67,CDC Did NOT Confess To Lying About COVID-19 Death Numbers,Fake
68,"There Is NO Evidence China Created, Then Unleashed Coronavirus As Bioweapon",Fake
69,Mosques NOT Allowed to Stay Open While Churches Close During COVID-19 Pandemic,Fake
70,Smithfield Foods Are NOT Packaged In China ,Fake
71,Biological Engineer Did NOT Offer Medically-Supported Information In Viral Video,Fake
72,Soap And Hand Sanitizer Can't Be Used to Kill Coronavirus Inside Your Body,Fake
73,Sex Lines Do NOT Have Stimulus Checks Information,Fake
74,COVID-19 Stimulus Checks NOT An Advance On Next Year's Tax Refund,Fake
75,Pentagon Did NOT Confirm Coronavirus Accidentally Got Into Chemtrail Supply Chain,Fake
76,"Officials NOT Wrong To Impose Safety Measures, And COVID-19 IS A Pandemic",Fake
77,Kroger Did NOT Offer Chance For A Shopping Spree Giveaway Amid COVID-19,Fake
78,Michigan Gov Did NOT Ban Sale Of American Flags During Coronavirus Outbreak,Fake
79,New Data Does NOT Reveal That 21 Million Chinese Died Of Coronavirus,Fake
80,Trump Did NOT Call Coronavirus A 'Hoax' Or 'Political Conspiracy',Fake
81,"Antennas On Fire In La Spezia, Italy, Were NOT 5G Towers",Fake
82,YouTube Video DOES Accurately Describe How COVID-19 Can Kill,Fake
83,15 Global Pandemics Did NOT All Originate In China,Fake
84,India Is NOT Suing Bill Gates For Vaccination Deaths,Fake
85,Quinine And Zinc Do NOT Prevent Coronavirus; NO Proof Schweppes Tonic Water Helps,Fake
86,Top German Doctor Did NOT Seriously Recommend Whiskey to Protect Against COVID-19,Fake
87,COVID-19 Vaccine Did NOT Kill 7 Children In Senegal,Fake
88,No 'Deep State' Operators Trying To Ban Hydroxychloroquine ,Fake
89,Comparing Other Virus Death Counts To COVID-19 Does NOT Signal Government Secrets,Fake
90,Nancy Pelosi Did NOT Say Stimulus Won't Pass Unless Seniors Excluded,Fake
91,Dr. Birx Video NOT Evidence of U.S. Coronavirus Death Toll Being Inflated,Fake
92,Disagreement Over Whether Coronavirus Will Simply Be 'Exterminated' If Lockdowns Are Lifted,Fake
93,Steam From Boiling Orange Concoction Will NOT Kill COVID-19,Fake
94,Microwaving Masks In Plastic Bags Is NOT Safe Way To Sterilize Them,Fake
95,"COVID-19 Is NOT A Hoax Proven By Empty Hospital Lots, Waiting Rooms",Fake
96,'CoronaHoax' Video Offers NO Proof COVID-19 Is Anything But Real and Deadly,Fake
97,Hospital NOT Caught Red-Handed Using Dummies In Coronavirus Pandemic Footage,Fake
98,Goodwill Did NOT Use COVID-19 As An Excuse To Fire All Employees,Fake
99,Photo Of Mannequin Being Wheeled Into Hospital Does NOT Prove A Coronavirus Cover-Up,Fake
100,Photo On Biography Of Boy Who Died From Coronavirus Is NOT Actually Him,Fake
101,Coronavirus Is NOT Fake; Is NOT A Cover-Up To Allow 5G Deployment,Fake
102,Trump's Statement That Lupus Patients Are Not Vulnerable To Coronavirus Is NOT Medically Supported,Fake
103,Video Claiming You Cannot Catch Coronavirus Is NOT True,Fake
104,Israeli Recipe For Lemon And Bicarbonate Drink Is NOT A Cure For Coronavirus ,Fake
105,World Economic Forum NOT A Fascist Cabal Using Coronavirus To Dominate Globe,Fake
106,Walmart NOT Adopting Staggered Schedule Due To COVID-19,Fake
107,'Former Vodafone Boss' Makes FALSE Claim In Taken-Down YouTube Video That Coronavirus Caused By 5G Tech,Fake
108,NYTimes Did NOT Invent Doctor Fighting Coronavirus In QAnon Conspiracy Theory,Fake
109,President Trump Did NOT Refer To Coronavirus As A 'Hoax',Fake
110,Audio Of Biden Calling Coronavirus A 'Hoax' WAS Manipulated,Fake
111,There Is NO Evidence That 5G Is Being Forcibly Installed In Schools,Fake
112,Alkaline Diet Does NOT Prevent You From Getting Coronavirus,Fake
113,New York Is NOT Banning Cigarette Sales To Combat COVID-19,Fake
114,'Coronavirus / COVID-19 Exposed' Video Does NOT Contain Credible Info,Fake
115,COVID-19 Is NOT A Fabrication Or A Scapegoat For Economic Disaster,Fake
116,CIA Did NOT Arrest Harvard Scientist For Creating Coronavirus,Fake
117,Meme Comparing Coronavirus To Other Causes Of Death Does NOT Have Accurate Figures,Fake
118,"CBS DID Air Video From Italian Hospital During Coronavirus Outbreak, Claiming It Was Of Overwhelmed NYC Hospital",Fake
119,Big Pharma Is NOT Behind Massive Infection and Death Rates In COVID-19 Conspiracy,Fake
120,COVID-19 NOT Being Blamed For Deaths Primarily Due To Unrelated Causes,Fake
121,Students Do NOT Have To Repeat Their Current Grades Due To Coronavirus,Fake
122,"Trump DID Sign 5G Bill, But Exposure Effects Are Misleading",Fake
123,Kennedy Center Did NOT Give DNC $5M After Getting $25M In Relief From Coronavirus Stimulus,Fake
124,"There Is NO Evidence The Illuminati Controlled The U.S. Government, And Coronavirus Is NOT Caused By 5G",Fake
125, Bill Gates Does NOT Have Access To Your DNA And Does NOT Have Ownership In WHO,Fake
126,Florida Did NOT Ban Alcohol Sales Beginning Today Due To Coronavirus,Fake
127,CDC Is NOT Scheduled To Recommend Masks For Everyday Life,Fake
128,Queen Elizabeth II Did NOT Test Positive For Coronavirus,Fake
129,Coronavirus Victims ARE Being Reported By The News Media,Fake
130,Bill Gates Did NOT Write Open Letter Saying COVID-19 Reminds 'We Are All Equal',Fake
131,Studies Do NOT Prove Coronavirus Was Engineered To Be A Bioweapon,Fake
132,Countries With High Rates Of Childhood Vaccinations Are NOT Hardest Hit With Coronavirus,Fake
133,Coronavirus 'Patient Zero' Is NOT A Man Who Had Sex With A Bat,Fake
134,Deaths Blamed On Coronavirus Are NOT Really Due To The Flu,Fake
135,"There Is NO Evidence Of Worldwide COVID-19 Conspiracy Involving U.S. Government, Its Military, 5G Tech And The Illuminati",Fake
136,Tanks Are NOT Rolling Into American Towns In Advance Of Martial Law,Fake
137,Congress Did NOT Include A Raise of $25 Million For Themselves In Stimulus,Fake
138,Your Child Will NOT Be Taken From You If They Have COVID-19,Fake
139,The Flu Shot Does NOT Increase Risk Of Contracting COVID-19 By 36%,Fake
140,NO Proof That Genetic Mutations Responsible For Coronavirus's Virulence,Fake
141,"NY Gov. Cuomo Did NOT Reject Buying Recommended 16,000 Ventilators In 2015 for Pandemic",Fake
142,Mexico DOES Have Confirmed Cases Of COVID-19,Fake
143,"Italy's President NOT Caught On Camera Crying Over, and Regretting, Nation's COVID-19 Response",Fake
144,COVID Does NOT Stand For 'Chinese Originated Viral Infectious Disease',Fake
145,Hardee's Is NOT Advising Truckers Walk Up To Drive-Thrus During Coronavirus Pandemic,Fake
146,Boiled Orange Peels With Cayenne Pepper Are NOT Effective Treatment For Coronavirus,Fake
147,Russia's Putin Did NOT Release 500 Lions To Keep People Indoors Amid Coronavirus,Fake
148,Black People Are NOT Immune To The Dangers Of Coronavirus,Fake
149,60 Democrats Did NOT Vote Against Coronavirus Stimulus Bill,Fake
150,Belgium Did NOT Ban Certain Sex Activities Of Three Or More In Indoor Areas To Beat COVID-19,Fake
151,Photos Do NOT Show People Falling Dead Of COVID-19 On Italy's Streets,Fake
152,Coronavirus Test DOES Require Swab To Be Inserted Clear Through Nasal Passage ,Fake
153,Sky News Video About Coronavirus Victims In Italian Hospital Did NOT Get Taken Down,Fake
154,Using A Sauna Or Hairdryer Will NOT Kill Coronavirus,Fake
155,Helicopters Are NOT Spraying Disinfectants To Try To Eradicate Coronavirus,Fake
156,Curfew NOT Issued For Bossier City Due To Coronavirus,Fake
157,Website Urging People To Stay Home Offers Sound Advice,Fake
158,New York City Is NOT Set To Undergo Citywide Quarantine,Fake
159,Man NOT Infected With Coronavirus Who Claimed To Have Spread It At A Walmart In Louisiana,Fake
160,Supermarkets Are NOT Recalling Coronavirus-Infected Toilet Paper,Fake
161,The Coronavirus Scare Did NOT Start Immediately After Impeachment,Fake
162,Former CIA Officer Selectively Quoted By Iranian Site; Did NOT Say Coronavirus Was Produced In a Lab,Fake
163,Meme Does NOT Contain Accurate Figures for H1N1 Deaths In The United States,Fake
164,Australian Hospital Staff Did NOT Roll In A Wilson Volleyball To Keep Tom Hanks Company In Quarantine,Fake
165,U.S. Election Is NOT Canceled Due To Coronavirus,Fake
166,Memes With Advice For Preventing Coronavirus Are NOT Accurate; Gargling With Salt Water & Vinegar Does NOT Kill The Virus,Fake
167,COVID-19 NOT Found In Toilet Paper,Fake
168,Onions Do NOT Prevent The Flu And Other Viral Infections,Fake
169,"NOT 10,000 Deaths In Virus Outbreak in Michigan, Washington, Idaho, North Dakota, Missouri, Mississippi",Fake
170,Every U.S. Election Year Does NOT Have A Disease,Fake
171,A NYC Man With Suspected Coronavirus Did NOT Drop Dead In The Middle Of The Street,Fake
172,Department Of Homeland Security Officials Did NOT Say Illegal Border Crossings May Spread Coronavirus,Fake
173,Freshly Boiled Garlic Water Is NOT A Cure For Coronavirus,Fake
174,States Are NOT Imposing Mandatory Leave And Statewide School Closures Due To Coronavirus,Fake
175,"As Of March 7, 2020, Tanzania And Zambia Had NOT Confirmed First Cases Of Coronavirus",Fake
176,"CDC Did NOT Publish Sponsored Facebook Post Asking For Help With ""Escaped"" Coronavirus Patient",Fake
177,Mayor Of Buffalo Did NOT Tell People To Evacuate Due To Coronavirus Outbreak,Fake
178,"The Coronavirus Test Does NOT Cost $3,200",Fake
179,It Is NOT Known Whether Novel Coronavirus Has A Survival Rate Of 99.7%,Fake
180,Donating Plasma Or Blood Is NOT Free Testing For The Coronavirus,Fake
181,Common Cold Is NOT The Only Type Of Coronavirus,Fake
182,Officials Did NOT Say Coronavirus Killed 200 In Iran,Fake
183,Patents Do NOT Mean Deadly Diseases And Viruses Were Created Or Invented In A Lab,Fake
184,A Bovine Vaccine Can NOT Be Used To Inoculate People Against Coronavirus,Fake
185,A Journalist Did NOT Claim A Coronavirus Patient Was Murdered,Fake
186,VP Pence Did NOT Urge People With Coronavirus To Go To The Police,Fake
187,Vatican Did NOT Confirm Pope Francis And Two Aides Tested Positive for Coronavirus,Fake
188,Doctors Do NOT Recommend Carbon Filter Face Masks To Prevent Coronavirus Spread,Fake
189,CDC Did NOT Recommend Men Shave Their Beards To Protect Against Coronavirus,Fake
190,San Diego Lab Says It Has Created Coronavirus Vaccine In Three Hours,Fake
191,Florida Man NOT Arrested For Robbery Using Cough As A Weapon,Fake
192,"Lysol Products Can Kill Older Strains Of Coronavirus, But Tests Have NOT Scientifically Proven They Kill Novel Coronavirus",Fake
193,Hair Weaves And Lace Front Wigs Made In China NOT Likely To Contain Coronavirus,Fake
194,Scientists Did NOT Discover That Cocaine Kills Coronavirus,Fake
195,NO Evidence Coronavirus Is Bioweapon Leaked From Wuhan Lab,Fake
196,Vitamin D Is NOT Better Than Any Vaccine Against H4N1 (Bird Flu) Virus,Fake
197,"Six Coronavirus Cases NOT Confirmed In Wichita, Kansas (Or Several Other U.S. Cities)",Fake
198,"20 Million Chinese Did NOT Convert To Islam, And It Was NOT Proven That Coronavirus Epidemic Did Not Afflict Muslims",Fake
199,NO Evidence To Support Claim From Bioweapons Expert Who Says Coronavirus Is Biological Warfare Weapon,Fake
200,Popping Bubble Wrap Does NOT Expose People To Coronavirus,Fake
201,Data From Windy.com Does NOT Show Massive Release Of Sulfur Dioxide Gas Near Wuhan,Fake
202,Latest Research Published By Chinese Scientists Did NOT Say Coronavirus Will Render Most Male Patients Infertile,Fake
203,NO Proof That High-Rise Buildings Have Become Human Incinerators To Combat Coronavirus,Fake
204,"Residential Building NOT In Wuhan, NOT Set Ablaze To Control Coronavirus Spread",Fake
205,"NO Coronavirus Cases Reported In Rome, Georgia",Fake
206,Autopsy Did NOT Reveal Wuhan Doctor Was Murdered In Sickbed,Fake
207,"China Does NOT Seek Court's Approval To Kill The Over 20,000 Coronavirus Patients To Avoid Further Spread Of The Virus",Fake
208,Vitamin C Does NOT Slow Or Stop Coronavirus,Fake
209,Video From China Does NOT Show People Trying To Escape Coronavirus Quarantine,Fake
210,Scientists from Australia Did NOT Create First Vaccine For Novel Coronavirus,Fake
211,Bill Gates Did NOT Help Fund Patent For Coronavirus,Fake
212,"Scientists Did NOT Claim Wuhan Coronavirus is HIV-1 Engineered ""Superweapon""",Fake
213,NO Evidence Coronavirus Is A Man-made Depopulation Weapon,Fake
214,"World Health Organization Did NOT Officially Declare Coronavirus A Plague; 950,680 Are NOT Dead",Fake
215,Romania Has NOT Developed Coronavirus Vaccine Able To Cure White People Only,Fake
216,Students In Ghana Have NOT Successfully Created Vaccine For Coronavirus; Côte d'Ivoire Patient NOT Cured,Fake
217,Scripps Urgent Care NOT On Lockdown; Two People In Clinics Do NOT Have Coronavirus,Fake
218,Coronavirus Case NOT Confirmed in Des Moines,Fake
219,"NO Large Explosion In Wuhan, China, Tied To Coronavirus Outbreak",Fake
220,'High-Level Exercise' Conducted 3 Months Ago Did NOT Show That A Coronavirus Pandemic Could Kill 65 Million People,Fake
221,NO Proof That Spray Can Protect Against Coronavirus ,Fake
222,2015 Article About Lab-Made Coronavirus Triggers Debate,Fake
223,"Coronavirus in China: Millions Quarantined, 2.8 Million NOT Infected; 112,000 NOT Dead",Fake
224,Patent For Coronavirus That Expired Is NOT For New Strain Killing People In China,Fake
225,American Vice-President Mike Pence was caught on a hot mic delivering empty boxes of PPE to a nursing home and pretended they were heavy.,Fake
226,Australia’s COVIDSafe app tracks users’ locations.,Fake
227,Madagascar has found a “coronavirus medicine” that can “wipe out the virus at any stage within a period of six days.”,Fake
228,A video shows a Maasai tribe member in Kenya whipping people who violate the country’s curfew during the coronavirus pandemic.,Fake
229,A widely-circulated image claims to reveal the ingredients contained in this year’s flu shots. The alleged ingredients include mercury,Fake
230,Messages linking scientist Bing Liu’s death to “very significant findings” about the coronavirus he was supposedly about to make at the University of Pittsburgh.,Fake
231,“Dr. Fauci sat on Microsoft’s board of directors.”,Fake
232,Two doctors in Bakersfield,Fake
233,The origin of the novel coronavirus was “manipulated,Fake
234,Due to the pandemic measures in Turkey,Fake
235,A video shows British Prime Minister Boris Johnson serving journalists tea after recovering from COVID-19.,Fake
236,COVID-19 is an exosome,Fake
237,Scientists discovered a new and more contagious strain of the coronavirus.,Fake
238,Information on children rescued from underground tunnels in New York and Los Angeles.,Fake
239,“Trump bailed out Wall Street,Fake
240,Models projecting COVID-19 deaths “are talking about without mitigation.”,Fake
241,“Plandemic” vignette featuring Judy Mikovits claims that coronavirus is manmade; that flu vaccine increases risk of COVID-19; that hydroxychloroquine is effective for treating COVID-19.,Fake
242,“There was no real scientific basis for believing that” social distancing would be necessary,Fake
243,Trump campaign video suggesting Trump’s travel restrictions on China saved 2 million lives.,Fake
244,The Centers for Disease and Prevention has reduced the number of COVID-19 cases recorded in the U.S.,Fake
245,A photo shows Proud Boys member Rob Cantrall at a recent Michigan protest.,Fake
246,Regarding the risks of coronavirus transmission on an airplane,Fake
247,Trump: “Medically,Fake
248,Central Park hospital tents housed thousands of abused children released from underground captivity.,Fake
249,Joe Biden has “written a letter of apology” for calling Trump’s travel restrictions from China “xenophobic.”,Fake
250,Gas is under $1 in 13 states,Fake
251,“A shift in world politics,Fake
252,Kentucky teachers will conduct in-home “bedroom inspections” during the week of April 27 for their kindergarten through eighth grade students.,Fake
253,Image shows a packed beach in Bloemfontein,Fake
254,Under the mayor’s COVID-19 order,Fake
255,Social media users have shared a photo that claims to show a “Center for Global Human Population Reduction” affiliated with the Bill & Melinda Gates Foundation.,Fake
256,People come to your house,Fake
257,American president Donald Trump announced that tests of injection of disinfectant to fight against the new coronavirus will begin in Africa.,Fake
258,The White House is selling coins commemorating the COVID-19 pandemic.,Fake
259,Madagascar does not have any cases of the coronavirus,Fake
260,South African President Cyril Ramaphosa asked all foreigners to leave the country by June 21 in response to the spread of COVID-19.,Fake
261,Video shows the FBI seizing coronavirus-infected face masks sent from China,Fake
262,Georgia Gov. Brian Kemp “mandates restaurants reopen”.,Fake
263,“Governor Andy Beshear has authorized Kentucky teachers to make in-home visits. With parental approval,Fake
264,CDC does not recommend wearing masks.,Fake
265,President Donald Trump is selling coronavirus-themed commemorative coins through the White House Gift Shop.,Fake
266,Walmart,Fake
267,News outlets are misusing a boy’s image to report the same child died of COVID-19 in three different countries.,Fake
268,Donald Trump’s claim that the USA had more testing than all other countries combined.,Fake
269,“So 2 doctors from Bakersfield discover that coronavirus mortality rate is 0.03%. 13x less deadly than what was previously thought! Their analysis has since been banned from YouTube.”,Fake
270,Walmart,Fake
271,Sign outside the Bill & Melinda Gates Foundation says “Center for Global Human Population Reduction.”,Fake
272,Coronavirus mortality rate been proven to be 0.03%.,Fake
273,Walmart,Fake
274,Late herbalist known as “Dr. Sebi” was correct in saying viruses don’t exist.,Fake
275,Michigan Gov. Gretchen Whitmer “has just been stripped of her emergency coronavirus powers by her state legislature.”,Fake
276,“We’ve tested more than every country combined.”,Fake
277,The CDC recommends that only people with COVID-19 symptoms should wear masks.,Fake
278,A video of an alleged virologist named Judy Mikovits in which she launches numerous theories about the new coronavirus,Fake
279,Dr. Anthony Fauci “has known for 15 years that chloroquine and … hydroxychloroquine will not only treat a current case of coronavirus but prevent future cases.”,Fake
280,“The (corona)virus just isn’t nearly as deadly as we thought it was.”,Fake
281,A 2005 NIH study shows that Fauci already knew of chloroquine’s effectiveness against coronaviruses,Fake
282,Japanese doctor who won Nobel Prize said coronavirus is artifical and was manufactured in China.,Fake
283,A Facebook post shared more than 29,Fake
284,“Why did the US (NIH) in 2017 give $3.7m to the Wuhan Lab in China? Such grants were prohibited in 2014. Did Pres. Obama grant an exception?”,Fake
285,The government must have planned the coronavirus pandemic because the coronavirus relief bill had been introduced three years earlier.,Fake
286,Graphics shared thousands of times on social media claim to show the exact probability of COVID-19 carriers spreading the disease if they or another person wears a mask.,Fake
287,Media shows a Florida beach full of people while it’s empty.,Fake
288,Elisa Granato,Fake
289,“First volunteer in UK coronavirus vaccine trial has died.”,Fake
290,A volunteer for Oxford coronavirus vaccine died.,Fake
291,“We’ve still had more deaths to the flu this year than we’ve had COVID-19.”,Fake
292,Black cats in Vietnam are being killed and consumed as a COVID-19 cure.,Fake
293,“Ultraviolet Radiation is administered into the body as a disinfectant to kill bacteria and viruses and this has been used for a while now.”,Fake
294,Exposure of blood to ultraviolet light rids the body of coronavirus.,Fake
295,A video posted on Facebook claiming that chloroquine and azithromycin are proven cures of COVID-19,Fake
296,US President Donald Trump has suggested studying the injection of disinfectant as a COVID-19 treatment.,Fake
297,Two physicians in Bakersfield,Fake
298,North Carolina’s health department is “telling hospitals that if they decide to do elective surgeries,Fake
299,Smoking may protect against COVID-19; scientists believe nicotine might protect against coronavirus.,Fake
300,U.S sent 100,Fake
301,President Trump urged people to ingest or inject disinfectants as a treatment for coronavirus.,Fake
302,November 2019 job listing for a quarantine advisor at the Centers for Disease Control and Prevention prove the government knew the COVID-19 would hit United States.,Fake
303,Mosques are allowed to stay open during pandemic in the United States,Fake
304,“Trump and McConnell are blocking stimulus checks for Americans married to immigrants.”,Fake
305,President Barack Obama “signed the medical appliance tax bill that forced companies to outsource manufacturing of masks,Fake
306,The April 22 jump in COVID-19 cases in the United States was related to the election.,Fake
307,U.S. House Speaker Nancy Pelosi was in Wuhan,Fake
308,U.S. House Speaker Nancy Pelosi was in Wuhan,Fake
309,“President Trump just announced that the ‘biological’ lab in Wuhan where the COVID-19 virus was created was ‘funded’ by President Barak Hussein Obama in 2015 to the tune of $3,Fake
310,Trey Gowdy said,Fake
311,“Pelosi was in (Wuhan) China 6 days after the impeachment HOAX failed.”,Fake
312,A Pentagon study found that people who get the flu vaccine are 36% more likely to get COVID-19.,Fake
313,The existence of a canine coronavirus vaccine casts doubt on statements that there isn’t one for humans.,Fake
314,Japanese Nobel Prize for Medicine Tasuku Honjo claimed on social media that coronavirus is not “natural”,Fake
315,“People defying stay-at-home order fill Arizona beaches.”,Fake
316,Mosquitoes can transfer COVID-19 “from person to person”.,Fake
317,Facebook posts shared in at least three countries as scientists work to develop a COVID-19 vaccine claim to offer a legal way to refuse vaccination.,Fake
318,Bill Gates is creating a vaccine against the Covid-19 which would geolocate the population.,Fake
319,Pennsylvania House of Representatives approved funding for COVID-19 in June 2019,Fake
320,A video of hot mic comments between a Fox News reporter and a New York Times photographer reveals that COVID-19 is a hoax and proves that there is a secret vaccine.,Fake
321,Trey Gowdy said coronavirus shutdowns were suspicious and overblown.,Fake
322,All elective or non-emergency surgeries are banned to prioritize coronavirus treatments and prevent the spread.,Fake
323,A video showing two journalists talking at a White House briefing is the proof a vaccine exist.,Fake
324,“Trump said ‘hundreds’ of governors are calling him…& we only have 50.”,Fake
325,Wisconsin is “clearly seeing a decline in COVID infections”.,Fake
326,Facebook posts claim a child who is infected with the novel coronavirus will be taken to a hospital unaccompanied.,Fake
327,India’s Ministry of Home Affairs banning citizens from posting about the new coronavirus on social media.,Fake
328,Video shows people in China tearing down a 5G pole because it is “triggering the Corona symptoms.”,Fake
329,The Gates Foundation “has the patent for this coronavirus.”,Fake
330,42 Democratic senators,Fake
331,The photo of a vaccine for canine coronavirus proves that a vaccine exists for the novel coronavirus that causes COVID-19.,Fake
332,“Face masks being manufactured in China,Fake
333,A picture of a reporter in protective medical gear is an example of how the American media “hypes” the COVID-19 pandemic.,Fake
334,Dr. Deborah Birx,Fake
335,President Donald Trump said former President Obama funded the coronavirus that was creatical in biological Wuhan lab.,Fake
336,“New autopsy reports suggest Jeffrey Epstein most likely died from COVID-19 complications.”,Fake
